Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
The Big Bands Trivia Quiz Book;By Simon, George;Offers questions and answers concerning the big bands, popular band leaders, theme songs, singers, musicians, and hit recordings; Music , General;BARNES & NOBLE;5.29;May;1985
The American Style of Foreign Policy: Cultural Politics and Foreign Affairs;By Dallek, Robert;With American foreign policy playing an increasingly dominant role in world events of the past century, the international diplomatic community and even Americans themselves have staged heated debates centering on the charge that our government often misreads international crises.      Responding to the controversy, Robert Dallek's groundbreaking book argues that the pressures generated by unresolved political and social domestic problems have shaped American foreign policy. In an illuminating examination of each significant period--from the expansionism of the Spanish-American War and the American entrance into World War I, to American-Soviet relations during World War II, the Cold War period that followed, and American involvement in Korea and Vietnam--Dallek reveals why we have acted as we have, often in the face of logic and with costly consequences.       Providing a wealth of new insights, he presents American foreign policies in the twentieth century as symbolic extensions of domestic hopes and fears.  Reaching beyond traditional explanations of why and how these policies reflect U.S. concerns at home more than realities abroad, this important and provocative analysis challenges thinking Americans to confront the whole fascinating history of American foreign affairs in the twentieth century.; Political Science , International Relations , General;Oxford University Press;5.29;January;1990
D.H. Lawrence: The Story of a Marriage;By Maddox, Brenda;Maddox presents a richly detailed and startlingly new portrait of D. H. Lawrence: not the bearded prophet with the baleful eye, not the sickly and self-absorbed sexual outlaw, but a vulnerable, sensitive Lawrence, a hilarious mimic, a lover of nature, an inspired teacher, a brilliant journalist, an ecological visionary, and above all - as he saw himself - a married man.The prize-winning author of Nora (Mrs. James Joyce) examines Lawrence's perplexing, restless life through the greatest contradiction in it - his marriage to Frieda, a woman even more defiant of conventional morality than he was. Theirs was a mismatch made in heaven, a marriage with infidelities on both sides, verbal taunts and physical abuse, separations, and the strains of Lawrence's long struggle with tuberculosis. Yet her determined influence on his life and work cannot be overestimated, and they remained together until his bitter, tragic death.; Literary Criticism , European , English, Irish, Scottish, Welsh;Simon & Schuster;6.32;November;1994
The Illustrated Almanac of Historical Facts: From the Dawn of the Christian Era to the New World Order;By Stewart, Robert;Provides a list of important events in world history, from ancient to modern times, as well as brief dictionaries of people and places; Reference , General;Macmillan General Reference;6.24;May;1994
Notable American Women: A Biographical Dictionary: Notable American Women: The Modern Period: A Biographical Dictionary (Notable American Women) (Volume 4);By Sicherman, Barbara (EDT) and Green, Carol Hurd (EDT);The life stories of American women--442 of them--who have in some way affected contemporary American life are explored in this lauded companion toNotable American Women, 1607-1950. The basics--the crucial dates, ancestry, parents, education, marital status, and children--provide invaluable material for both the researcher and the general reader. Beyond these essentials, a brief essay focuses on each woman's life and personality, and evaluates her career from a historical framework. Sixteen new pages of photographs specially selected for the paperback edition have been included.; Biography & Autobiography , Reference;Belknap Press of Harvard University Press;8.79;January;1986
Ashes of Glory: Richmond at War;By Furgurson, Ernest B.;"In Ashes of Glory, Ernest B. Furgurson conjures up wartime Richmond in vivid detail. We meet not only with such luminaries as Robert E. Lee, Jefferson Davis, and Stonewall Jackson but with a strikingly broad spectrum of the community: preachers, nurses, newspapermen, bureaucrats, entrepreneurs, slaves, slave dealers, bootleggers, actors, spies, prostitutes, prisoners of war, refugees, handsome widows, eager debutantes, and swarms of enlisted men and officers from all over the South.Furgurson ushers us into the legendary Spotswood Hotel, where generals and gentry communed amid gossip and bourbon. He admits us to the hospitals crammed with amputees and infested by rats. He plunges us into a bread riot involving several hundred citizens and spurred by a ""woman huckster."" He shows us that, despite universal hardship, Richmond fairly crackled with spirit: theater manager John Hill Hewitt kept melodrama flowing on the city's popular stages; taffy parties, faro parlors, and sewing circles kept various other constituencies entertained; Colonel Thomas E. Rose of Pennsylvania and dozens more tunneled out of notorious Libby Prison; the genteel Union sympathizer Elizabeth Van Lew conducted an elaborate and extraordinarily successful campaign of espionage. Meanwhile, beneath the surface, a compound of defiance, despair, and paranoia preyed on the nerves of everyone from President Davis on down, turning a stunned and battered, once-glamorous society virtually inside out.";History , United States , Civil War Period (1850-1877);Knopf;29.96;September;1996
Orthopedic Disorders (Mosby's Clinical Nursing Series);By Mourad, Leona A.;; Medical , General;Mosby Inc;10.99;July;1991
God's Masterwork: A Concerto in Sixty-Six Movements : Ezra Through Daniel (Swindoll Bible Study Guides , Part 2);By Swindoll, Charles R.;From the leadership of Ezra through the integrity of Daniel, see God's faithfulness and love to Israel during its obedience, rebellion, and restoration. Swindoll traces the sweep of history, the undercurrents of doctrine, and the pulse of redemption through this section of Scripture.; Music , Religious , Christian;W Pub Group;4.99;June;1997
In Buddha's Kitchen : Cooking, Being Cooked, and Other Adventures at a Meditation Center;By Snow, Kimberley;Kimberley Snow offers an outrageously funny and honest account of her adventures as head cook at a Tibetan Buddhist retreat center. With her earthy sensibility and sharp sense of humor, the author shows this world in a light devoid of preciousness—while expressing with heart the integrity of the spiritual work being undertaken. We come away from our visit to this exotic realm having found it both extraordinary and surprisingly familiar. The neuroses, obsessions, and petty concerns exposed by Snow—both in herself and her fellow staff members—prove to be grist for the mill for discovering the grace inherent in life just as it is.; Religion , Buddhism , General;Shambhala;4.99;May;2003
Crossing Over: The Stories Behind the Stories;By Edward, John;The psychic television host talks about his life, his work, and his TV program, sharing stories of the people and spirits he has encountered, and discussing his efforts to bring peace and insight to those grieving for loved ones.; Body, Mind & Spirit , Parapsychology , ESP (Clairvoyance, Precognition, Telepathy);Jodere Group;13.48;August;2001
Business Law: Text and Cases;By Allison, John R., Howell, Rate A., and Prentice, Robert A.;; Law , General;Dryden Pr;9.77;December;1993
Sea Otters: A Natural History and Guide;By Nickerson, Roy;; Nature , General;Chronicle Books;19.25;July;1989
Becoming satisfied: A man's guide to sexual fulfillment (A Spectrum book);By Nowinski, Joseph;Reexamines the relationship between men and women, identifies common male sexual problems, and offers possible solutions, some involving a change in attitude;;Prentice Hall;6.64;January;1980
Marketing;By Keegan, Warren J., Moriarty, Sandra, Duncan, Tom;;;Prentice Hall;8.03;January;1992
The New Yorker Cartoon Album 1975-1985;By The New Yorker;A selection of over three hundred cartoons by artists ranging from Charles Addams to Jack Zieglar take a humorous look at the seventies and eighties; Humor , Form , Comic Strips & Cartoons;Penguin Books;4.99;November;1987
We Are America;By Joy, Anna;The path to effective writing begins with this text. We Are America: A Thematic Reader and Guide to Writing, Fifth Edition, is your map to the writing process, to enhancing your reading skills, and to understanding how you can communicate successfully by mastering the essential elements of writing - unity, coherence, completeness, and sentence skills.We Are America is far more than a textbook. It is at once a writing handbook and a reader filled with provocative selections that not only illustrate the writing process, but also reflect the wonderfully diverse American experience of our different cultural and ethnic groups.; Reference , General;Harcourt College Pub;10.99;March;1992
Dr. Nancy Snyderman's Guide to Health: For Women over Forty;By Blackstone, Margaret and Snyderman, Nancy L., M.D.;In this comprehensive health guide for women over forty, the medical correspondent on Good Morning americanca “offers authoritative, practical advice written with intelligence, humor, and wisdom” (Dr. Dean Ornish). Index.; Health & Fitness , Women's Health;Harvest Books;5.53;November;1996
Unravelling;By Graver, Elizabeth;"From a small, bogside cabin in rural New England, 38-year-old Aimee Slater unravels the story of her life, attempting to make sense of the tangled thread that leads from her mother's house-a short, unbridgeable distance away-to the world she now inhabits. It is soon after the Civil War; Aimee lives alone, but is graced with visits from two friends, a crippled man and a troubled eleven-year-old girl. She is perpetually caught between the sensual world she so desires and the divine retribution passed down to her by her mother's scorn. How Aimee ultimately creates a life for herself and bridges that distance makes for a moving story of love and loss. Told in a voice of spare New England lyricism, Unravelling is a remarkably haunting account of the power of redemption."; Fiction , Historical;Houghton Mifflin;4.99;August;1999
An Obedient Father;By Sharma, Akhil;A stunning novel about family secrets, hailed nationwide as a masterpiece. Ram Karan, a corrupt official in the New Delhi school system, lives in one of the city's slums with his widowed daughter and his little granddaughter. Bumbling, sad, ironic, Ram is also a man corroded by a terrible secret. With the assassination of the politician Rajiv Gandhi, Ram is plunged into a series of escalating and possibly deadly political betrayals. As he tries to save his family, his daughter reveals a crime he had hoped was long buried-and Ram, struggling to survive, must make amends after a life of deception. Taking the reader deep into a world of Indian families and politics, gangsters and movie stars, riots and morgues, An Obedient Father is an astonishing fiction debut, a work of rare sensibilities that presents a character as tormented, funny, and morally ambiguous as one of Dostoyevsky's antiheroes.; Fiction , Sagas;Harvest Books;5.29;November;2001
Like the Red Panda;By Seigel, Andrea;"Stella Parrish is seventeen, attractive, smart, deeply alienated, and unable to countenance life's absurdities. She is not nihilistic; she is prematurely exhausted. Since her parents OD'd on designer drugs when she was eleven, she has lived with well-meaning but inexperienced foster parents, while her grandfather, her only living relative, tries ever more ingenious ways of committing suicide in his retirement home. Here are the last two weeks of Stella's senior year in Orange County, California: the intensive AP final exams; the childish, celebratory trips; the totemic importance attached to graduation. Beneath Stella's mordantly funny take on her life is the decisiveness with which she disengages from it, planting clues and providing explanations for those who will try to understand the act she is about to commit. With perfect pitch, remarkable wit, and a spare, vivid prose, Stella turns her farewell to suburbia into a wry philosophical inquiry."; Fiction , General;Harvest Books;4.99;April;2004
East Asia: From Chinese Predominance to the Rise of the Pacific Rim;By Cotterell, Arthur;A historical examination of East Asia divided into three time periods: the Chinese predominance (B.C. to 14th century), the new balance of power (14th-20th century), and the rise of the Pacific Rim; Health & Fitness , Diet & Nutrition , Nutrition;Oxford University Press;4.89;July;1995
Hamlet's Mother and Other Women;By Heilbrun, Carolyn G.;"Carolyn G. Heilbrun's groundbreaking essay ""The Character of Hamlet's Mother"" was published in 1957 at a time when few critics thought seriously about women's issues in literature. In the years since, Heilbrun has emerged as a feminist leader through her commitment to women's writing and feminist literary critique. Now in a new paperback edition with a new preface by the author, this collection explores feminism in literary studies during the last three decades. By questioning the gender arrangements of society, Heilbrun has helped to transform them. Taken together, these graceful essays demonstrate the consistency and clarity of Heilbrun's vision and her deep respect for the lives of women who write."; Literary Collections , Essays;Columbia University Press;10.99;October;1990
The Book of Intimate Grammar;By Grossman, David and Rosenberg, Betsy (TRN);David Grossman, the leading Israeli novelist of his generation, showed himself in his internationally acclaimed novel, See Under: LOVE, to be a consummate artist of the inner life of the child. Now, in his most moving and accessible novel yet, he gives us the story of the greatest and most universal tragedy, the loss of that childhood world. At twelve, Aron Kleinfeld is the ringleader among the boys in his Jerusalem neighborhood, their inspiration in dreaming up games and adventures. But as his friends begin to mature, Aron remains imprisoned for three long years in the body of a child. While Israel inches toward the Six-Day War, and while the voices of his friends change and become strange to him, Aron lives in his child body as though in a nightmare. Like a spy in enemy territory, he learns to decipher the internal codes of sexuality and desire, to understand the unyielding bureaucracy of the human body. Hurled between childhood and adulthood, between the pure and the profane, he is like a volcano of emotions and impulses. But, like his hero Houdini, Aron still struggles to escape from the trap of growing up.The Book of Intimate Grammar is about the alchemy of childhood, which transforms loneliness and fear into creation, and about the struggle to emerge as an artist. Funny, painful and passionate, it is a work of enormous intensity and beauty.; Fiction , Literary;Farrar Straus & Giroux;5.29;August;1994
Sunset Recipe Annual 1995;By Sunset Books;A cumulation of recipes published in Sunset magazine includes recipes for soups, salads, meat, poultry, seafood, vegetables, breads, appetizers and desserts; House & Home , General;Sunset Pub Co;6.18;January;1995
Ritalin Nation: Rapid-Fire Culture and the Transformation of Human Consciousness;By Degrandpre, Richard J.;"By the year 2000, the USDA predicts that 15 percent-8 million-of our children will be on their way to using Ritalin. In this illuminating investigation of the epidemic of Attention Deficit Disorder (ADD) today and its most widely prescribed treatment, the powerful psychostimulant Ritalin, psychologist Richard DeGrandpre sounds a warning: we may well be failing our children by treating symptoms and not causes with a quick-fix and ultimately unsatisfactory solution. Drawing on the latest findings from developmental, psychobiological, and social scientific research, DeGrandpre seeks to solve the problem of ADD by ""solving"" its history. He attributes the disturbing prevalence of inattention and hyperactivity in children to the larger societal consequences of a speed-up culture that has profoundly altered our perceptual expectations, our very experience of time, and our ability to defer gratification. Our society-wide rush to more, and faster, stimulation leaves children especially vulnerable to ""sensory addictions."" Ritalin Nation both exposes the shortsightedness of mere biological explanations of ADD and offers some practical guidelines for charting a more hopeful future in environments that deliberately ""make time for time,"" cultivate a less hurried existence, and promote a saner, safer community for our children."; Medical , Psychiatry , Child & Adolescent;W W Norton & Co Inc;5.29;January;1999
Ashes to Ashes: America's Hundred-Year Cigarette War, the Public Health, and the Unabashed Triumph of Philip Morris;By Kluger, Richard;"No book before this one has rendered the story of cigarettes -- mankind's most common self-destructive instrument and its most profitable consumer product -- with such sweep and enlivening detail.Here for the first time, in a story full of the complexities and contradictions of human nature, all the strands of the historical process -- financial, social, psychological, medical, political, and legal -- are woven together in a riveting narrative. The key characters are the top corporate executives, public health investigators, and antismoking activists who have clashed ever more stridently as Americans debate whether smoking should be closely regulated as a major health menace.We see tobacco spread rapidly from its aboriginal sources in the New World 500 years ago, as it becomes increasingly viewed by some as sinful and some as alluring, and by government as a windfall source of tax revenue. With the arrival of the cigarette in the late-nineteenth century, smoking changes from a luxury and occasional pastime to an everyday -- to some, indispensable -- habit, aided markedly by the exuberance of the tobacco huskers.This free-enterprise success saga grows shadowed, from the middle of this century, as science begins to understand the cigarette's toxicity. Ironically the more detailed and persuasive the findings by medical investigators, the more cigarette makers prosper by seeming to modify their product with filters and reduced dosages of tar and nicotine.We see the tobacco manufacturers come under intensifying assault as a rogue industry for knowingly and callously plying their hazardous wares while insisting that the health charges against them (a) remain unproven, and (b) are universally understood, so smokers indulge at their own risk.Among the eye-opening disclosures here: outrageous pseudo-scientific claims made for cigarettes throughout the '30s and '40s, and the story of how the tobacco industry and the National Cancer Institute spent millions to develop a ""safer"" cigarette that was never brought to market.Dealing with an emotional subject that has generated more heat than light, this book is a dispassionate tour de force that examines the nature of the companies' culpability, the complicity of society as a whole, and the shaky moral ground claimed by smokers who are now demanding recompense."; Business & Economics , General;Knopf;10.99;April;1996
Recyclopedia: Games, Science Equipment, and Crafts from Recycled Materials;By Simons, Robin;Suggestions for games, crafts, and scientific equipment that can be made from recycled materials.; Juvenile Nonfiction , Technology , General;Houghton Mifflin Harcourt;4.99;September;1976
The Survival Factor;By Birkhead, Mike and Birkhead, Tim;Describes the unusual adaptations animals use to survive in harsh environments, and looks at the cuckoo, spadefoot toad, mountain goat, woodpecker, and California ground squirrel; Science , General;Facts on File;10.99;November;1991
First and last love;By Sheean, Vincent;;;Random House;23.11;January;1956
Greek Mythology (An Encyclopedia Of Myth And Legend);By Stoneman, Richard;;;Diamond Books, London, England;5.29;June;1995
World of Our Fathers: The Journey of The Eastern European Jews to America;By Libo, Kenneth and Howe, Irving;Recounts the experiences of the East European Jews who settled in New York's East Side; Social Science , General;Harcourt;5.19;December;1989
Dance Of A Fallen Monk: The Twists And Turns Of A Spiritual Life;By Fowler, George;From a hardscrabble Montana youth, to twenty-one years of celibacy as a Trappist monk and priest, to his excommunication from the Catholic Church for marrying a nun, Fowler's story is one of a thinker and activist motivated by a quest for true spiritual understanding.; Biography & Autobiography , Religious;Da Capo Press;5.29;June;1995
Intervention and Reflection: Basic Issues in Medical Ethics (Philosophy);By Munson, Ronald and Hoffman, Christopher A.;This unique combination of text, reader, and casebook provides coverage of the fundamental topics in current medical ethics and familiarizes the reader with the basic moral and social issues confronting the medical profession today.; Medical , Ethics;Wadsworth Publishing;5.58;August;1995
Politics of Latin American Development;By Wynia;; Political Science , Public Policy , Economic Policy;Cambridge University Press;5.29;March;1984
Ronald Reagan: His Life In Pictures;By Spada, James;"An extraordinary life story in more than 340 photographs, most never before published.Ronald Wilson Reagan lived the American Dream-- over and over again. During his long, astonishing life, he has succeeded at everything he attempted. College football letterman. Heroic lifeguard. Sports announcer. Movie star. Television host. Corporate spokesman. Governor. And finally, the greatest dream of all: President of the United States.Fully two-thirds of the images in this book have never been published before, and they offer us glimpses into the private man as well as the public icon. We see him as a little boy in his mother's Sunday-school class; welcoming home GIs with Bette Davis; helping his daughter prepare for a ballet recital, and celebrating the birth of his namesake with his wife Nancy. In a wonderful assortment of unseen images from his presidential library, we see every aspect of the President, from building a snowman with his grandson on the White House lawn to anguishing over the deaths of Marines in Beirut.No matter what one's politics, these images, and James Spada's evocative, balanced text, provide new insights into a man whose life embodies the promise of America."; Biography & Autobiography , Presidents & Heads of State;St. Martin's Press;8.79;January;2001
Custer Story;By Rh Value Publishing;;;Random House Value Publishing;5.64;December;1988
150 Years of Photo Journalism;By Yapp, Nick;;;Konemann;7.2;December;2001
Deadlock: The Inside Story of America's Closest Election;By Nakashima, Ellen;"When Americans cast their ballots on November 7, 2000, no one expected that the outcome of the presidential election would still be in doubt more than a month later. For the first time ever, the race for America's highest office had ended in a dead heat, with but a few hundred votes in Florida separating Vice President Al Gore and Governor George W. Bush of Texas. The stage was set for an extraordinary drama of recounts, challenges, court cases - and hanging, swinging, and dimpled chads.Deadlock is the first comprehensive account of what really happened in the ""post-election"" of 2000, written and reported by the award-winning political staff of The Washington Post, America's premier newspaper for politics and elections. Drawing on hundreds of interviews with the key participants and offering details never before reported by any news organization, the Post staff has produced not just an original work of history-in-the-making, but a page-turner to rival the best political thrillers."; Political Science , General;PublicAffairs;4.99;March;2001
Truman;By McCullough, David;The Pulitzer Prize–winning biography of Harry S. Truman, whose presidency included momentous events from the atomic bombing of Japan to the outbreak of the Cold War and the Korean War, told by America’s beloved and distinguished historian.The life of Harry S. Truman is one of the greatest of American stories, filled with vivid characters—Roosevelt, Churchill, Stalin, Eleanor Roosevelt, Bess Wallace Truman, George Marshall, Joe McCarthy, and Dean Acheson—and dramatic events. In this riveting biography, acclaimed historian David McCullough not only captures the man—a more complex, informed, and determined man than ever before imagined—but also the turbulent times in which he rose, boldly, to meet unprecedented challenges. The last president to serve as a living link between the nineteenth and the twentieth centuries, Truman’s story spans the raw world of the Missouri frontier, World War I, the powerful Pendergast machine of Kansas City, the legendary Whistle-Stop Campaign of 1948, and the decisions to drop the atomic bomb, confront Stalin at Potsdam, send troops to Korea, and fire General MacArthur. Drawing on newly discovered archival material and extensive interviews with Truman’s own family, friends, and Washington colleagues, McCullough tells the deeply moving story of the seemingly ordinary “man from Missouri” who was perhaps the most courageous president in our history.; Biography & Autobiography , Presidents & Heads of State;Simon & Schuster;6.87;June;1992
Crafts of Israel;By DAYAN, Ruth and Feinberg, Willie;;;Macmillan Pub Co;8.79;June;1974
Understanding the Chesapeake, a Layman's Guide,;By Sherwood, Arthur W.;; Science , General;Cornell Maritime Pr/Tidewater Pub;4.99;June;1973
Alistair Cooke's America;By Cooke, Alistair;"Classics stand the test of time, and Alistair Cooke’s history of America is a classic. Nearly three decades have passed since the original edition of America?based on journalist-historian Cooke’s extraordinarily popular thirteen-part television series?sold more than a million copies. Yet Cooke’s view of America’s dynamic past and its impact upon the always-changing present continues to provide striking insights into the singular character of a nation. Those thirty years since award-winning America first rose to the top of best-seller lists have themselves wrought further dramatic changes. Presidents have been impeached, economies have toppled, empires have collapsed, and towers have fallen. In light of such events, Cooke has written for this new edition a compelling introduction and final chapter that bring his story of America up to date with the wisdom of the inimitably grand old man of correspondents. And what a story this book tells. From the discovery of America by European explorers to modern times; from the fighters for independence to the pioneers who tamed the West; from the slaves who fled to freedom to the huddled masses that sought a new life in the New World. And through it all, Cooke describes the essential forces that make America work so vitally. Updated in light of the September 11th tragedy, this new edition is complimented with full-color illustrations throughout. ?The first and maybe the finest, tribute to the nation.”?Newsweek ?A panoramic book, traveling fast and high, and the view it gives of our land and its people is exhilarating.”?Atlantic Monthly"; History , United States , General;Carroll & Graf;7.06;September;2002
The Purpose Driven Life Journal;By Warren, Rick;;;Zondervan;4.99;November;2002
Going Bridal: How to Get Married Without Losing Your Mind;By Robbins, Li;"Witty, one-of-a-kind wedding book keeps the bride from going bonkers!What causes a seemingly normal, well-adjusted woman to become obsessed and emotionally unstable after her boyfriend pops the question?She's obviously gone bridal! Going Bridal is an actual syndrome, coined by journalist Li Robbins, who in these pages takes a sharp and witty look at what makes a bride go nuts and explains how to prevent emotional overload from spoiling the Big Day.Filled with helpful, humorous stories from brides who have, regretfully, experienced Going Bridal firsthand as well as those who have narrowly escaped a memorable meltdown, this fun, chatty guide puts it all in perspective. Before it's too late, brides on the brink learn to identify and treat the four major causes of their condition, which include:Family-induced freak-outs Vendor-induced high-decibel venting Fiancé (oh, yeah, whatshisname)-induced fits Friend-induced frenzy Forget the place settings and the perfect dress; this unique bridal guide focuses on the key ingredient for a successful wedding day--a sane and centered bride!"; Reference , Weddings;McGraw-Hill;5.29;December;2003
Incidents in the Life of a Slave Girl;By Jacobs, Harriet, Child, Lydia Maria Francis, and Brent, L.;"An authentic autobiographical account of slave life in the South from the 1820s to the 1840s. To escape sexual exploitation by her master, Brent ran away and hid in an attic crawl space that became her home for seven years of unbelievable physical hardship. Edited by L. Maria Child; Introduction by Walter Teller."; Biography & Autobiography , Cultural Heritage;Amistad;5.29;March;1973
Human Resource Management;By Mathis, Robert L. and Jackson, John H.;;;West Group;7.62;February;1994
Plumage;By Springer, Nancy;After being dumped by her husband after twenty-seven years of marriage, Sassy Hummel lands a job housekeeping for the Sylvan Towers Hotel, where a new friend, Racquel, will help her discover a side of herself she never considered.; Fiction , General;Perennial;5.37;November;2000
The Fundamentals of Play: A Novel;By Macy, Caitlin;Caitlin Macy's remarkable first novel is an evocation of a time and a place in which those things that were always so dependable--money, class, family--are threatened on all sides.Narrated by George Lenhart, scion of a family who lost their fortune but not their good name, The Fundamentals of Play follows five friends from prep school as they enter adult life in New York City in the aimless, early nineties, before the internet explosion. They work entry-level jobs at investment banks, spend weekends in the Hamptons. At their center is the fickle, elusive Kate Goodenow.  Everyone is in love with Kate and only George understands her heart was captured long ago, and for good. Hailed as a Great Gatsby for the end of the twentieth century--The Fundamentals of Play introduces a brilliant new Lost Generation longing to live careless lives, while the situations around them are increasingly fraught with importance--and the world threatens to leave them behind.; Fiction , Urban;Anchor;5.29;July;2001
Improvised Europeans: American Literary Expatriates In London;By Zwerdling, Alex;"At the turn of the century the United States seemed poised to overtake its European rivals on all fronts; its many strengths were finally being recognized—the wealth of resources, the profusion of ideas and innovation, and the artistic talent of its citizens. American power was expanding and American writers—including Emerson, Thoreau, Hawthorne, and Whitman—were acclaimed at home and abroad. England’s condescending air toward America had already become inappropriate. The United States had reached a new level of respectability in the world. In light of this favorable international climate, why then did some of America’s most talented young writers travel to London to become, as Henry Adams put it, ”improvised Europeans”?Few writers have been studied and analyzed as much as the quartet at the heart of this book. But Alex Zwerdling was perplexed by this shared and often overlooked aspect of their background: Why, at the dawn of the American century, did these writers choose to go ”back” to what was called ”the Old World”? And why would these brilliant thinkers include in some of their most acclaimed work material that is today reviled as offensive—anti-Semetic, racist, anti-feminist? What was happening in the United States that repelled them? In striving to answer these questions, Alex Zwerdling illuminates the lives and careers of Henry Adams, Henry James, T.S. Eliot, and Ezra Pound as never before.These men chose to live their lives abroad at a crucial point in American history, both domestically and internationally. The massive influx of immigrants from Southern and Eastern Europe began to whittle away the Anglo-Saxon majority. The end of slavery created a renewal of efforts to make true the Constitution’s claim to universal equality. Women’s confidence and authority grew as they fought for independence and their own rights. These developments, Zwerdling argues, were large factors in why these four writers fled. He examines their works and their lives in the context of the American scene they left, and also in the context of the British scene they left for. His brilliant cultural history uses personal correspondence, unprinted articles, and other previously unknown sources to unravel the historical forces that shaped these literary lions. Depicting their careers as a roller-coaster ride through alien territory, the book shows that they produced extraordinary work in the midst of perpetual friction, indifferece, and even active hostility."; Literary Criticism , American , General;Basic Books;5.7;May;1998
Forever Beautiful With Rex: Makeup Strategies for the Rest of Your Life;By Jewell, Diana Lewis, Rex (ILT), and Rex;The best-selling creators of Making Up demonstrate the principles of beauty for women of all ages, presenting full-color illustrations and photographs of real-life models that stress that every age has its own unique beauty. 25,000 first printing.;;Clarkson Potter;6.0;May;1994
Best Places to Stay in the Caribbean, Sixth Edition;By Jamison, Cheryl Alters, Jamison, Bill, and Shaw, Bruce;The most comprehensive guide to outstanding, distinctive lodging options in the CaribbeanNo fee accepted for inclusionAlmost every kind of vacation experience is available in the Caribbean, but the first step toward reaching your vacation aspirations is choosing the right place to stay. This guide is designed to help you find what you want among lodging options that vary enormously in personality, amenities, beach accessibility, sports facilities, and other features.  Based on firsthand visits and extensive research, this completely revised and updated edition of BEST PLACES TO STAY IN THE CARIBBEAN recommends hundreds of accommodations throughout the Caribbean islands. * Romantic Hideaways* Chic Resorts* Family Favorites* Elegant Inns* Country Club and All-Inclusive Resorts* Beachfront Bargains* Affordable Inns and Guest Houses* Adventure Retreats; Travel , Caribbean & West Indies;Mariner Books;4.99;September;2000
Solve Your Child's Sleep Problems;By Ferber, Richard;"You've tried everything. Warm milk. Bedtime stories. Sharing your bed. But your child still has problems falling asleep. Dr. Richard Ferber can help. Director of the Sleep Laboratory and Center for Pediatric Sleep Disorders at Children's Hospital in Boston, Dr. Ferber is widely recognized as the nation's leading authority on children's sleep problems.  Practical and easy to understand, Solve Your Childs' Sleep Problems tells you how to handle these situations in children aged one to six:  * Refusing to go to bed * Colic and other medical problems * Restlessness and insomnia * Night terrors * Bedwetting * Headbanging and body rocking  And other problems that keep you and your child awake in the night.  Based on six years of intensive research in a top medical facility, Solve Your Child's Sleep Problems is packed with tips, suggestions, sample problems and solutions, and a bibliography of children's ""go-to-sleep"" books."; Family & Relationships , Parenting , General;Fireside;4.99;April;1986
All Japan: The Catalogue of Everything Japanese;By Dalby, Liza;;;William Morrow & Co;10.99;October;1984
The World Of Biblical Literature;By Alter, Robert;Alter reflects on the paradoxes inherent in considering the Bible as literature, building on and in some cases taking issue with the new wave of literary and biblical studies to reexamine the elusive texts. Annotation copyright Book News, Inc. Portland, Or.; Religion , General;Basic Books;5.29;March;1992
Geography and Development: A World Regional Approach;By FISHER;;;Longman Higher Education Division (a Pearson Education company);7.74;January;1989
Dissection of the Fetal Pig;By Walker, Warren F.;;;W H Freeman & Co;5.29;May;1980
Search for Spring;By Miller, Moira and Deuchar, Ian (ILT);Mystified by the change of seasons, a curious boy sets out to find where Spring has gone;;Dial;4.99;March;1988
Death bed: A detective story;By Greenleaf, Stephen;After taking on two unrelated cases, San Francisco investigator John Tanner soon discovers several interconnecting pieces linking both missing persons;;Dial Press;5.29;January;1980
Caring and Coping When Your Loved One is Seriously Ill;By Grollman, Earl A.;When someone you care about develops a serious illness, your own world is often turned upside down as well. In his gentle, straightforward style, Earl Grollman shows how you can best support the person who is ill-and handle your own emotions, too. A completely updated resource section lists organizations throughout the United States and Canada.; Self-help , Personal Growth , General;Beacon Press;5.29;December;1995
Voice Lessons: On Becoming a (Woman) Writer;By Mairs, Nancy;"Voice Lessons is a book about writing from a woman with a remarkable story to tell and an utterly distinctive voice in which to tell it. Nancy Mairs's essays have been called ""triumphs... of will, style, candor, thought and even form"" (Los Angeles Times). She has won acclaim for her autobiographical writing on themes from living with depression to renewing a marriage, from sex to religion. In Voice Lessons, Mairs's subjects are literary, but as always her approach is personal, revealing, and inspiring. Mairs first shares her sharply drawn story on how ""finding a voice"" as an essayist transformed her life when she was a graduate student, wife, and mother in her late thirties. In a tribute to the liberating power of literature and feminist ideas, she shows how the words of other writers made possible a new career, a new life in difficult times. Voice Lessons goes on to explore other women's writing and to outline a singular kind of literary life. Always grounding her writing in personal experience, always making ideas concrete, Mairs gives us essays on writing and the body, the challenges of autobiography, the revelatory power of Virginia Woolf and Alice Walker, the literature of personal disaster, and the art of dealing with rejection. Articulate, witty, incisive, and inspirational, Voice Lessons is a book for writers and aspiring writers, and for everyone who loves women's writing."; Literary Criticism , General;Beacon Press;5.29;January;1997
